,Dcode,avg_dropout_rate,total_fund,CO Code,District,EDP 365,Current Expense ADA,Current Expense Per ADA,LEA Type,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C24,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30
57,62687,4.167961165048544,141871865.84,12,NORTHERN HUMBOLDT UHSD,"20,452,052.57","1,406.31","14,543.06",High,25482,1239,254,326,45,0,39,0,357,167,0,0,86,10,12749,9369,14,0,110,0,0,12,14,0,0,2606,0,0,624,0,11494,0,7766,0,0,0,0,761,691,14,0,45,0,0,0,391,38,0,259,0
58,62810,11.113888888888889,73468701.14,12,FORTUNA UNION HIGH SCHOOL DIST,"13,456,258.65","1,011.23","13,306.82",High,17987,601,235,176,36,0,30,0,12,136,0,0,0,12,10852,6217,7,0,74,0,0,14,12,814,0,3370,0,0,344,0,6534,0,5014,0,0,0,0,804,187,0,0,45,0,0,0,9,12,0,176,0
59,62901,13.591891891891892,95317963.54,12,KLAMATH TRINITY JT UNIFIED JT SCH DIST,"19,542,112.24",894.77,"21,840.37",Unified,26136,8539,510,203,54,0,7,0,58,535,0,6829,211,186,11714,9368,15,0,104,0,0,0,28,0,0,1703,0,0,496,0,5883,0,2302,0,0,0,0,535,2,0,0,0,0,0,0,3,0,0,187,0
60,63032,2.5714285714285716,68277426.52,12,SOUTH BAY UNION ELEM SCH DIST,"4,949,807.42",390.78,"12,666.48",Elementary,7441,664,232,88,28,0,0,0,48,296,0,0,0,0,5161,4188,5,0,34,0,0,0,15,0,0,767,0,0,152,0,1616,0,1193,0,0,0,0,0,0,0,0,22,0,0,0,0,40,0,85,0
61,63040,10.633333333333333,39178892.32,12,SOUTHERN TRINITY JT UNIF SCH DIST,"9,447,330.49",690.22,"13,687.42",Unified,2714,211,58,22,6,0,1,0,28,49,0,0,0,53,1560,1190,3,0,5,0,0,0,3,0,0,299,0,0,60,0,943,0,702,0,0,0,0,133,0,0,0,9,0,0,0,2,0,0,38,0
62,63081,1.5852459016393443,125899846.11,13,BRAWLEY UNION HIGH SCHOOL DIST,"25,381,776.40","1,843.55","13,767.88",High,29677,1671,639,313,83,0,74,42,144,459,0,0,0,0,23237,19237,4,0,126,0,0,9,38,0,0,3052,0,0,771,0,4769,0,3207,0,0,0,0,603,375,0,0,21,0,0,0,0,15,0,125,0
63,63099,27.265079365079366,482230727.82,13,CALEXICO UNIF SCH DIST,"117,889,165.07","8,786.56","13,416.99",Unified,144090,13511,5415,1174,411,0,118,886,519,5399,0,0,0,0,117167,97593,72,0,647,0,0,9,357,0,0,15275,0,0,3214,0,13412,0,8097,0,0,0,0,2630,633,0,0,0,0,0,0,0,0,0,660,0
64,63107,7.75,58149906.78,13,CALIPATRIA UNIFIED SCH DIST,"15,757,347.24","1,080.21","14,587.30",Unified,20417,1578,616,190,74,0,16,44,175,537,0,0,0,0,11857,9370,10,0,83,0,0,7,41,0,0,1876,0,0,470,0,6982,0,5940,0,0,0,0,792,70,0,0,1,0,0,0,0,10,0,57,0
65,63115,9.558024691358025,355943325.62,13,CENTRAL UNION HIGH SCHOOL DIST,"52,303,844.74","3,952.80","13,232.10",High,68752,3743,1004,655,180,0,125,115,385,1459,0,0,0,0,54608,42985,28,0,295,0,0,8,112,0,0,9581,0,0,1599,0,10401,0,6538,0,0,0,72,1333,852,0,0,244,0,0,0,0,52,0,515,0
66,63149,1.6375,96767806.87,13,HOLTVILLE UNIF SCH DIST,"19,498,582.91","1,509.37","12,918.36",Unified,24651,2332,750,234,84,0,22,75,117,1134,0,0,0,0,17594,13653,15,0,88,0,0,20,83,0,0,3106,0,0,629,0,4725,0,3452,0,0,0,0,846,237,0,0,0,0,0,0,0,0,0,104,0
67,63164,7.402500000000001,273511912.46,13,IMPERIAL UNIF SCH DIST,"46,140,787.99","4,117.91","11,204.90",Unified,55722,2526,554,695,97,0,0,110,89,1078,0,0,0,0,39946,32325,25,0,246,0,0,7,25,0,0,5858,0,0,1460,0,13250,0,8503,0,0,0,0,793,986,0,0,528,0,0,0,0,0,0,517,0
68,63289,6.3,27044027.64,14,LONE PINE UNIF SCH DIST,"4,996,604.85",295.48,"16,910.13",Unified,6854,452,91,77,15,0,0,0,28,124,0,78,16,38,1087,527,0,112,23,0,0,15,9,0,0,280,0,0,121,0,5315,0,5034,0,0,0,0,158,0,0,0,34,0,0,0,0,6,0,43,0
69,63412,5.195652173913044,302262005.35,15,DELANO JT UNION HIGH SCHOOL DIST,"56,962,787.65","4,028.35","14,140.48",High,76194,7833,3557,737,160,0,195,107,751,2486,0,0,0,0,54360,48287,29,0,293,0,0,12,153,0,0,3971,0,0,1615,0,14001,0,8867,0,0,0,0,2067,640,31,0,157,0,0,0,0,89,0,644,0
