DistrictCode,CountyName,DistrictName,SEDcount,SEDpct,CountyMedianIncome,MedianIncome
65078,Los Angeles,Valle Lindo Elementary,790,78.6,35925,"72,614"
65094,Los Angeles,West Covina Unified,10199,69.7,35925,"97,045"
65102,Los Angeles,Westside Union Elementary,4633,50.5,35925,"96,076"
65110,Los Angeles,Whittier City Elementary,4331,74.2,35925,"76,687"
65128,Los Angeles,Whittier Union High,7818,69.5,35925,"84,176"
65136,Los Angeles,William S. Hart Union High,7815,33.1,35925,"111,447"
65151,Los Angeles,Wilsona Elementary,1139,94.4,35925,"53,130"
73437,Los Angeles,Compton Unified,20651,93.4,35925,"62,457"
73445,Los Angeles,Hacienda la Puente Unified,12573,72.6,35925,"88,130"
73452,Los Angeles,Rowland Unified,10173,73.7,35925,"85,041"
73460,Los Angeles,Walnut Valley Unified,3220,23.9,35925,"106,290"
75291,Los Angeles,San Gabriel Unified,3152,58.7,35925,"81,843"
75309,Los Angeles,Acton-Agua Dulce Unified,7586,60.5,35925,"104,577"
75333,Los Angeles,Manhattan Beach Unified,276,4.6,35925,"169,586"
75341,Los Angeles,Redondo Beach Unified,1494,15.2,35925,"123,874"
75713,Los Angeles,Alhambra Unified,9102,57.8,35925,"59,654"
76869,Los Angeles,Wiseburn Unified,1666,35,35925,"129,066"
65177,Madera,Alview-Dairyland Union Elementary,218,59.9,31609,"57,857"
65185,Madera,Bass Lake Joint Union Elementary,464,56.2,31609,"66,828"
65193,Madera,Chowchilla Elementary,1869,85.2,31609,"62,511"
65201,Madera,Chowchilla Union High,850,77.4,31609,"62,225"
65243,Madera,Madera Unified,18868,90.2,31609,"59,516"
65276,Madera,Raymond-Knowles Union Elementary,42,59.2,31609,"77,361"
75580,Madera,Golden Valley Unified,888,42.5,31609,"98,516"
75606,Madera,Chawanakee Unified,856,55.9,31609,"65,784"
76414,Madera,Yosemite Unified,924,55,31609,"67,400"
65300,Marin,Bolinas-Stinson Union,32,38.1,67925,"97,917"
65318,Marin,Miller Creek Elementary,285,15.3,67925,67925
65334,Marin,Kentfield Elementary,145,13.2,67925,"143,750"
65342,Marin,Laguna Joint Elementary,6,42.9,67925,"99,327"
65359,Marin,Lagunitas Elementary,39,17,67925,"114,688"
65367,Marin,Larkspur-Corte Madera,131,9.1,67925,"157,612"
65375,Marin,Lincoln Elementary,0,0,67925,"67,925"
65391,Marin,Mill Valley Elementary,147,5.6,67925,"184,803"
65409,Marin,Nicasio,15,44.1,67925,"104,375"
65417,Marin,Novato Unified,2846,38.1,67925,"113,339"
65425,Marin,Reed Union Elementary,62,5.1,67925,"208,406"
65433,Marin,Ross Elementary,6,1.6,67925,"250,001"
65458,Marin,San Rafael City Elementary,3026,68.5,67925,"104,839"
65466,Marin,San Rafael City High,1442,54.1,67925,"108,543"
65474,Marin,Sausalito Marin City,228,49.9,67925,"118,945"
65482,Marin,Tamalpais Union High,563,10.9,67925,"154,079"
73361,Marin,Shoreline Unified,319,63.8,67925,"104,722"
75002,Marin,Ross Valley Elementary,194,11,67925,"136,488"
65532,Mariposa,Mariposa County Unified,1180,67.2,33858,"53,426"
65540,Mendocino,Anderson Valley Unified,350,80.6,34119,"47,528"
65557,Mendocino,Arena Union Elementary,145,52.5,34119,"71,760"
65565,Mendocino,Fort Bragg Unified,1438,80.8,34119,"53,490"
65573,Mendocino,Manchester Union Elementary,23,53.5,34119,"72,917"
65581,Mendocino,Mendocino Unified,207,43.4,34119,"55,685"
65599,Mendocino,Point Arena Joint Union High,103,73,34119,"73,518"
65607,Mendocino,Round Valley Unified,478,96.2,34119,"46,875"
65615,Mendocino,Ukiah Unified,5093,78.4,34119,"61,403"
65623,Mendocino,Willits Unified,1154,61.8,34119,"54,529"
73866,Mendocino,Potter Valley Community Unified,159,58.7,34119,"51,419"
73916,Mendocino,Laytonville Unified,208,57.8,34119,"37,438"
75218,Mendocino,Leggett Valley Unified,67,50,34119,"25,125"
65631,Merced,Atwater Elementary,3896,80.9,32697,"59,901"
65649,Merced,Ballico-Cressey Elementary,217,62.4,32697,"90,144"
65680,Merced,El Nido Elementary,146,93,32697,"51,944"
65698,Merced,Hilmar Unified,1298,55.2,32697,"62,831"
65722,Merced,Le Grand Union Elementary,296,82,32697,"48,250"
65730,Merced,Le Grand Union High,460,89.5,32697,"45,186"
65748,Merced,Livingston Union,2096,84.7,32697,"68,389"
