SchoolCode,TotalCourses,TotalEnrollment,UCCSUCourses,UCCSUEnrollment,StaffACourses,StaffAEnrollment,StaffBCourses,StaffBEnrollment,StaffNCourses,StaffNEnrollment,NCLBCoreCourses,NCLBEnrollment
3733508,324,8294,256.0,7016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3733698,274,5884,159.0,4731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3733953,489,9540,333.0,7656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3734431,337,8690,226.0,6766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3734548,620,10848,320.0,7327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3734654,375,10133,278.0,8237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3734761,415,7756,263.0,5721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3734878,199,3130,80.0,1682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3735313,483,10782,299.0,7716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3735750,445,11383,336.0,9615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3735842,112,474,60.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3735867,483,10716,302.0,8569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3735958,42,798,17.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3735974,378,10580,196.0,6581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3737905,459,9049,274.0,6852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3737962,117,1041,100.0,937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3738226,745,16198,521.0,12723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3738234,524,11364,368.0,8957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3738705,571,14646,415.0,11438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3830031,81,927,65.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3830064,186,832,151.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3830197,179,1407,124.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3830205,154,3703,132.0,3215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3830254,281,7764,203.0,6094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3830288,287,7207,228.0,5895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3830387,178,4858,153.0,4167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3830403,197,3404,137.0,2519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
