SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,TotalFTE,ClearFTE,OtherFTE
3033206,Laguna Beach High,66555,Laguna Beach Unified,30,Orange,54.28,44.48,8.2
125047,CDS Bishop High,76687,Bishop Unified,14,Inyo,0.9,0.09,0.81
2730109,Alisal High,66159,Salinas Union High,27,Monterey,118.04,102.29,6.89
108670,Leadership Public Schools - Hayward,61192,Hayward Unified,1,Alameda,30.99,13.83,12
2435204,Merced High,65789,Merced Union High,24,Merced,79.33,58.94,16.91
125062,Tierra Del Sol Continuation High,63529,Kern High,15,Kern,14.65,12.21,2.44
3434636,Hiram W. Johnson High,67439,Sacramento City Unified,34,Sacramento,76.53,62.81,5.98
108688,Academy of the Redwoods,62810,Fortuna Union High,12,Humboldt,5.66,4.94,0.62
116889,KIPP San Jose Collegiate,69427,East Side Union High,43,Santa Clara,37,25.94,10.04
5630108,Conejo Valley High (Continuation),73759,Conejo Valley Unified,56,Ventura,9.13,7.21,1.91
2730141,Central Bay High (Continuation),73825,North Monterey County Unified,27,Monterey,2.49,1.19,1.3
1935519,Manual Arts Senior High,64733,Los Angeles Unified,19,Los Angeles,72.33,50.12,18.86
116897,Cosumnes Oaks High,67314,Elk Grove Unified,34,Sacramento,90.62,86.54,2
5630116,Westlake High,73759,Conejo Valley Unified,56,Ventura,87.46,79.72,3.47
4335782,Palo Alto High,69641,Palo Alto Unified,43,Santa Clara,117.77,109.46,5.42
100529,Cesar E. Chavez High,63412,Delano Joint Union High,15,Kern,62.49,44.06,18.44
4130993,Carlmont High,69062,Sequoia Union High,41,San Mateo,108.2,95.11,1.9
5630132,Oak Park High,73874,Oak Park Unified,56,Ventura,64.52,53.4,4.92
2730166,Everett Alvarez High,66159,Salinas Union High,27,Monterey,95.12,81.56,6.38
133306,Orange Vista High,75242,Val Verde Unified,33,Riverside,99.15,89.67,6.6
2730174,Greenfield High,66068,South Monterey County Joint Union High,27,Monterey,50.87,39.44,7.72
