SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,Latitude,Longitude
1936889,Pioneer High,65128,Whittier Union High,19,Los Angeles,33.9707,-118.07923
101881,New Technology High,67439,Sacramento City Unified,34,Sacramento,38.5185,-121.50367
2330108,South Coast Continuation,65599,Point Arena Joint Union High,23,Mendocino,38.91343,-123.69721
126474,"Hilda L. Solis Learning Academy School of Technology, Business and Education",64733,Los Angeles Unified,19,Los Angeles,34.03922,-118.17192
101899,George Washington Carver School of Arts and Science,67439,Sacramento City Unified,34,Sacramento,38.56474,-121.31646
134668,James Logan High,61242,New Haven Unified,1,Alameda,37.59146,-122.02524
3935756,Ripon High,68650,Ripon Unified,39,San Joaquin,37.74131,-121.12961
126482,Augustus F. Hawkins High A Critical Design and Gaming,64733,Los Angeles Unified,19,Los Angeles,33.98582,-118.28803
101907,The MET,67439,Sacramento City Unified,34,Sacramento,38.56758,-121.50155
3730967,Oasis High (Alternative),68122,Fallbrook Union High,37,San Diego,33.35186,-117.23629
126490,Augustus F. Hawkins High B Community Health Advocates,64733,Los Angeles Unified,19,Los Angeles,33.98573,-118.28807
110106,Orange Grove High,67033,Corona-Norco Unified,33,Riverside,33.879071,-117.57777
118307,Pride Continuation,68577,Linden Unified,39,San Joaquin,37.97262,-121.14804
118315,East Village Middle College High,68338,San Diego Unified,37,San Diego,32.720126,-117.15322
126508,Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,64733,Los Angeles Unified,19,Los Angeles,33.98578,-118.28783
4337200,San Jose High,69666,San Jose Unified,43,Santa Clara,37.34989,-121.87199
1936947,Polytechnic High,64725,Long Beach Unified,19,Los Angeles,33.78699,-118.18341
126516,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,64733,Los Angeles Unified,19,Los Angeles,33.9824,-118.23395
5434931,Strathmore High,75523,Porterville Unified,54,Tulare,36.145226,-119.06451
1035831,Roosevelt High,62166,Fresno Unified,10,Fresno,36.74199,-119.7528
126524,Linda Esperanza Marquez High B LIBRA Academy,64733,Los Angeles Unified,19,Los Angeles,33.9822800000001,-118.23406
3731007,La Costa Canyon High,68346,San Dieguito Union High,37,San Diego,33.073,-117.22818
126532,Linda Esperanza Marquez High C School of Social Justice,64733,Los Angeles Unified,19,Los Angeles,33.98275,-118.23404
101956,Aspire Benjamin Holt College Preparatory Academy,68585,Lodi Unified,39,San Joaquin,38.03741,-121.27402
126540,"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex",64733,Los Angeles Unified,19,Los Angeles,33.94142,-118.17894
3731023,Escondido Charter High,68106,Escondido Union High,37,San Diego,33.13654,-117.05517
101972,Rosemont High,67439,Sacramento City Unified,34,Sacramento,38.54383,-121.34243
126557,Visual and Performing Arts at Legacy High School Complex,64733,Los Angeles Unified,19,Los Angeles,33.94185,-118.17874
2330207,Whale Gulch High,75218,Leggett Valley Unified,23,Mendocino,39.9834,-123.97547
3632742,Colton High,67686,Colton Joint Unified,36,San Bernardino,34.0701,-117.33484
2330215,Noyo High (Continuation),65565,Fort Bragg Unified,23,Mendocino,39.43957,-123.79027
118380,Christopher High,69484,Gilroy Unified,43,Santa Clara,37.0366,-121.60156
110189,McClymonds High,61259,Oakland Unified,1,Alameda,37.81818,-122.27905
126573,Mervyn M. Dymally High,64733,Los Angeles Unified,19,Los Angeles,33.9571000000001,-118.26905
2330223,Laytonville Continuation High,73916,Laytonville Unified,23,Mendocino,,
3731056,TRACE,68338,San Diego Unified,37,San Diego,32.75028,-117.19327
3731064,Chula Vista Senior High,68411,Sweetwater Union High,37,San Diego,32.62174,-117.07834
4935292,Piner High,70920,Santa Rosa High,49,Sonoma,38.46124,-122.76772
110205,Lemoore Middle College High,63982,Lemoore Union High,16,Kings,36.29151,-119.82331
5631619,Adolfo Camarillo High,72546,Oxnard Union High,56,Ventura,34.21767,-119.00833
1937028,Pomona High,64907,Pomona Unified,19,Los Angeles,34.08506,-117.74119
102038,Sacramento Charter High,67439,Sacramento City Unified,34,Sacramento,38.5565,-121.46681
126615,Academies of Education and Empowerment at Carson High,64733,Los Angeles Unified,19,Los Angeles,33.822655,-118.27424
1937051,Quartz Hill High,64246,Antelope Valley Union High,19,Los Angeles,34.65829,-118.23852
118430,Mission Vista High,68452,Vista Unified,37,San Diego,33.25603,-117.26416
